betas1,means1,betas2,means2
0.5869695140269351,0.11105711475008129,0.3023702004503921,0.04837351263956519
0.6385404885822772,0.05770476028555216,0.6521972710983726,0.07057213364308751
0.6436192699631434,0.08034866715474344,0.8110845338447015,0.06332542606039472
0.8167346788440949,0.05692807419107201,0.7935011573073617,0.05991774631406035
0.9071480925099115,0.07923754745747688,0.8582522842811628,0.07231883268587298
0.9132893649994089,0.09206557645355763,0.9828905321775416,0.09143412830670683
0.9482683246203437,0.08457114562542446,1.1010361507190316,0.06344025716790919
1.1405743344132848,0.0691343360832956,1.1414462459440544,0.10798195287712824
1.210743958303533,0.07955267532538186,1.483587942773245,0.09768462957525433
1.6433670639826,0.07170132420034904,1.4024089769344272,0.09104001143830631
